assay_name,cell_line
5500994157493061613625_B07,ES1
5500994158987071513209_B07,COLO-679
5500994172383112813929_B07,EW-13
5500994158987071513202_B07,LN-405
5500994158987071513207_B07,TE-10
5500994172383112813928_B07,HCE-T
5500994158987071513201_B07,NCI-H1304
5500994172383112813930_B07,NU-DUL-1
5500994172948120113978_B07,NCI-H2172
5500994173212120213068_B08,NCI-N87
5500994157493061613625_B08,HDLM-2
5500994158987071513209_B08,CAL-78
5500994172383112813929_B08,HSC-3
5500994158987071513202_B08,L-540
5500994158987071513207_B08,TE-9
5500994172383112813928_B08,HCC-827
5500994158987071513201_B08,NCI-H1915
5500994172383112813930_B08,NBsusSR
5500994172948120113978_B08,LK-2
5500994173212120213068_B09,MIA-PaCa-2
5500994157493061613625_B09,H2731
5500994158987071513209_B09,COLO-668
5500994172383112813929_B09,HuO9
5500994158987071513202_B09,GAK
5500994158987071513207_B09,SLVL
5500994172383112813928_B09,SW948
5500994158987071513201_B09,NCI-H1623
5500994172383112813930_B09,OVK-18
5500994172948120113978_B09,IOSE-364-
5500994157493061613625_B10,IST-MEL1
5500994158987071513209_B10,D-263MG
5500994172383112813929_B10,HPAC
5500994158987071513202_B10,GP5d
5500994158987071513207_B10,SNU-449
5500994172383112813928_B10,HCE-4
5500994158987071513201_B10,OCI-AML2
5500994172383112813930_B10,OCI-LY-19
5500994172948120113978_B10,NCI-H2286
5500994157493061613625_B11,5637
5500994158987071513209_B11,DMS-53
5500994172383112813929_B11,Hs-633T
5500994158987071513202_B11,MFM-223
5500994158987071513207_B11,SW780
5500994172383112813928_B11,JVM-3
5500994158987071513201_B11,ONS-76
5500994172383112813930_B11,NCI-H196
5500994172948120113978_B11,SK-GT-2
5500994157493061613625_B12,786-o
5500994158987071513209_B12,EM-2
5500994172383112813929_B12,HCC2998
5500994158987071513202_B12,MES-SA
5500994158987071513207_B12,SK-N-FI
5500994172383112813928_B12,JHH-4
5500994158987071513201_B12,OVISE
5500994172383112813930_B12,SCH
5500994173212120213068_C01,TC-YIK
5500994157493061613625_C01,HeLa
5500994158987071513209_C01,42-MG-BA
5500994172383112813929_C01,EFO-21
5500994158987071513202_C01,KYSE-270
5500994158987071513207_C01,MV-4-11
5500994172383112813928_C01,MDA-MB-361
5500994172383112813930_C01,NCI-H1838
5500994172948120113978_C01,SW756
5500994173212120213068_C02,SNU-283
5500994157493061613625_C02,HMV-II
5500994158987071513209_C02,A375
5500994172383112813929_C02,451Lu
5500994158987071513202_C02,KYSE-410
5500994158987071513207_C02,MZ1-PC
5500994172383112813928_C02,SH-4
5500994158987071513201_C02,RC-K8
5500994172383112813930_C02,NCI-H2023
5500994172948120113978_C02,NUGC-4
5500994173212120213068_C03,A3-KAW
5500994157493061613625_C03,H2818
5500994158987071513209_C03,AM-38
5500994172383112813929_C03,BB30-HNC
5500994158987071513202_C03,KARPAS-231
5500994158987071513207_C03,MOLT-4
5500994172383112813928_C03,SUIT-2
5500994158987071513201_C03,RL
5500994172383112813930_C03,NCI-H211
5500994172948120113978_C03,HCC-366
5500994173212120213068_C04,BONNA-12
5500994157493061613625_C04,M14
5500994158987071513209_C04,BE2-M17
5500994172383112813929_C04,CL-11
5500994158987071513202_C04,KP-3
5500994158987071513207_C04,UACC-893
5500994172383112813928_C04,SK-NEP-1
5500994158987071513201_C04,RT-112
5500994172383112813930_C04,NCI-H650
5500994172948120113978_C04,RWPE-1
5500994173212120213068_C05,KMOE-2
5500994157493061613625_C05,HT-29
5500994158987071513209_C05,BT-549
5500994172383112813929_C05,D-336MG
5500994158987071513202_C05,LC-2-ad
5500994158987071513207_C05,WM278
5500994172383112813928_C05,KNS-42
5500994158987071513201_C05,PA-TU-8988T
5500994172383112813930_C05,NCI-H841
5500994172948120113978_C05,ROS-50
5500994173212120213068_C06,ECC4
5500994157493061613625_C06,AU565
5500994158987071513209_C06,CAS-1
5500994172383112813929_C06,ECC12
5500994158987071513202_C06,L-363
5500994158987071513207_C06,ZR-75-30
5500994172383112813928_C06,HSC-4
5500994158987071513201_C06,PF-382
5500994172383112813930_C06,NALM-6
5500994172948120113978_C06,CHSA0011
5500994173212120213068_C07,PWR-1E
5500994157493061613625_C07,NCI-H441
5500994158987071513209_C07,COLO-678
5500994172383112813929_C07,EKVX
5500994158987071513202_C07,LN-229
5500994158987071513207_C07,TOV-21G
5500994172383112813928_C07,HN
5500994158987071513201_C07,NCI-H1395
5500994172383112813930_C07,NB14
5500994172948120113978_C07,KYAE-1
5500994173212120213068_C08,NCI-H748
5500994157493061613625_C08,SW1088
5500994158987071513209_C08,Capan-2
5500994172383112813929_C08,HuP-T3
5500994158987071513202_C08,FADU
5500994158987071513207_C08,TGBC11TKB
5500994172383112813928_C08,HT-1080
5500994158987071513201_C08,NCI-H1755
5500994172383112813930_C08,no-11
5500994172948120113978_C08,Ishikawa
5500994173212120213068_C09,MHH-NB-11
5500994157493061613625_C09,IST-MES1
5500994158987071513209_C09,COR-L88
5500994172383112813929_C09,HEC-1
5500994158987071513202_C09,G-401
5500994158987071513207_C09,SNB75
5500994172383112813928_C09,SW954
5500994158987071513201_C09,NCI-H1793
5500994172383112813930_C09,OACM5-1
5500994172948120113978_C09,MOLP-8
5500994157493061613625_C10,HCT-116
5500994158987071513209_C10,DAN-G
5500994172383112813929_C10,HGC-27
5500994158987071513202_C10,GI-1
5500994158987071513207_C10,SW900
5500994172383112813928_C10,JURL-MK1
5500994158987071513201_C10,RXF393
5500994172383112813930_C10,OCI-AML5
5500994172948120113978_C10,NCI-H847
5500994157493061613625_C11,GA-10
5500994158987071513209_C11,DOK
5500994172383112813929_C11,H9
5500994158987071513202_C11,MFH-ino
5500994158987071513207_C11,SK-HEP-1
5500994172383112813928_C11,JSC-1
5500994158987071513201_C11,OSC-19
5500994172383112813930_C11,SNU-423
5500994172948120113978_C11,COLO-783
5500994157493061613625_C12,KYSE-450
5500994158987071513209_C12,ES4
5500994172383112813929_C12,HCC-56
5500994158987071513202_C12,MEG-01
5500994172383112813928_C12,IPC-298
5500994158987071513201_C12,OVKATE
5500994172383112813930_C12,NCI-H1703
5500994173212120213068_D01,SUP-M2
5500994157493061613625_D01,NCI-H2052
5500994158987071513209_D01,697
5500994172383112813929_D01,EW-18
5500994158987071513202_D01,KYSE-510
5500994158987071513207_D01,ML-1
5500994172383112813928_D01,MDA-MB-453
5500994158987071513201_D01,RCC-AB
5500994172383112813930_D01,NCI-H2227
5500994172948120113978_D01,LP-1
5500994173212120213068_D02,SNU-1040
5500994157493061613625_D02,LOXIMVI
5500994158987071513209_D02,A388
5500994172383112813929_D02,A427
5500994158987071513202_D02,KU812
5500994158987071513207_D02,MG-63
5500994172383112813928_D02,S-117
5500994158987071513201_D02,RERF-GC-1B
5500994172383112813930_D02,NCI-H209
5500994172948120113978_D02,NCI-H524
5500994173212120213068_D03,SCCH-196
5500994157493061613625_D03,HOS
5500994158987071513209_D03,AN3-CA
5500994172383112813929_D03,BB49-HNC
5500994158987071513202_D03,K052
5500994158987071513207_D03,M059K
5500994172383112813928_D03,SK-MES-1
5500994158987071513201_D03,RMG-I
5500994172383112813930_D03,NCI-H2291
5500994172948120113978_D03,NEC8
5500994173212120213068_D04,BxPC-3
5500994157493061613625_D04,NCI-H28
5500994158987071513209_D04,BEN
5500994172383112813929_D04,CCK-81
5500994158987071513202_D04,KCL-22
5500994158987071513207_D04,VCaP
5500994172383112813928_D04,SK-UT-1
5500994158987071513201_D04,RVH-421
5500994172383112813930_D04,NCI-H3122
5500994172948120113978_D04,CHSA8926
5500994173212120213068_D05,HuO-3N1
5500994157493061613625_D05,NCI-H358
5500994158987071513209_D05,BT-483
5500994172383112813929_D05,D-247MG
5500994158987071513202_D05,LAN-6
5500994158987071513207_D05,WSU-NHL
5500994172383112813928_D05,KP-1N
5500994158987071513201_D05,PC-14
5500994172383112813930_D05,NCI-H747
5500994172948120113978_D05,RPMI-8402
5500994173212120213068_D06,Calu-3
5500994157493061613625_D06,Becker
5500994158987071513209_D06,CAMA-1
5500994172383112813929_D06,ES5
5500994158987071513202_D06,LXF-289
5500994158987071513207_D06,YKG-1
5500994172383112813928_D06,HT-1376
5500994158987071513201_D06,PFSK-1
5500994172383112813930_D06,NCI-SNU-5
5500994172948120113978_D06,NCI-H2110
5500994173212120213068_D07,PCI-4B
5500994157493061613625_D07,RS4-11
5500994158987071513209_D07,COLO-320-HSR
5500994172383112813929_D07,EoL-1-cell
5500994158987071513202_D07,LN-18
5500994158987071513207_D07,TE-12
5500994172383112813928_D07,HA7-RCC
5500994158987071513201_D07,NCI-H1581
5500994172383112813930_D07,NCC021
5500994172948120113978_D07,LB2518-MEL
5500994173212120213068_D08,NCI-H2196
5500994157493061613625_D08,NCI-H727
5500994158987071513209_D08,Ca-Ski
5500994172383112813929_D08,HO-1-N-1
5500994158987071513202_D08,FU97
5500994158987071513207_D08,THP-1
5500994172383112813928_D08,HPAF-II
5500994158987071513201_D08,NCI-H1963
5500994172383112813930_D08,NY
5500994172948120113978_D08,IOSE-523-
5500994173212120213068_D09,A704
5500994157493061613625_D09,NCI-H1299
5500994158987071513209_D09,COR-L105
5500994172383112813929_D09,HCC-44
5500994158987071513202_D09,GCT
5500994158987071513207_D09,SNU-475
5500994172383112813928_D09,SW962
5500994158987071513201_D09,NCI-H146
5500994172383112813930_D09,OVCAR-4
5500994172948120113978_D09,TYK-nu
5500994157493061613625_D10,COLO-800
5500994158987071513209_D10,D-502MG
5500994172383112813929_D10,HTC-C3
5500994158987071513202_D10,GI-ME-N
5500994158987071513207_D10,SUP-B15
5500994172383112813928_D10,JJN-3
5500994158987071513201_D10,QGP-1
5500994172383112813930_D10,OACp4C
5500994172948120113978_D10,SUP-HD1
5500994157493061613625_D11,BT-474
5500994158987071513209_D11,DU-145
5500994172383112813929_D11,HCC-78
5500994158987071513202_D11,MFE-280
5500994158987071513207_D11,SK-OV-3
5500994172383112813928_D11,J-RT3-T3-5
5500994158987071513201_D11,OPM-2
5500994172383112813930_D11,SN12C
5500994172948120113978_D11,SK-CO-1
5500994157493061613625_D12,Saos-2
5500994158987071513209_D12,EN
5500994172383112813929_D12,HCC-15
5500994158987071513202_D12,MEC-2
5500994158987071513207_D12,ST486
5500994172383112813928_D12,IA-LM
5500994158987071513201_D12,OVMIU
5500994172383112813930_D12,SCC-25
5500994173212120213068_E01,SNU-C5
5500994157493061613625_E01,NCI-H838
5500994158987071513209_E01,769-P
5500994172383112813929_E01,EB-3
5500994158987071513207_E01,ML-2
5500994172383112813928_E01,SBC-5
5500994158987071513201_E01,RCM-1
5500994172383112813930_E01,NCI-H1693
5500994172948120113978_E01,EJM
5500994173212120213068_E02,SK-N-DZ
5500994157493061613625_E02,NCI-H2228
5500994158987071513209_E02,A4-Fuk
5500994172383112813929_E02,A498
5500994158987071513202_E02,KS-1
5500994158987071513207_E02,MHH-PREB-1
5500994172383112813928_E02,SR
5500994158987071513201_E02,RERF-LC-MS
5500994172383112813930_E02,NCI-H2444
5500994172948120113978_E02,CL-40
5500994173212120213068_E03,SACC-83
5500994157493061613625_E03,LS-411N
5500994158987071513209_E03,ARH-77
5500994172383112813929_E03,BB65-RCC
5500994158987071513202_E03,KMRC-1
5500994158987071513207_E03,U-266
5500994172383112813928_E03,SK-MG-1
5500994158987071513201_E03,RPMI-2650
5500994172383112813930_E03,NCI-H520
5500994172948120113978_E03,JHOS-4
5500994173212120213068_E04,RCC-FG2
5500994157493061613625_E04,RKO
5500994158987071513209_E04,BFTC-909
5500994172383112813929_E04,CCRF-CEM
5500994158987071513202_E04,KOSC-2
5500994158987071513207_E04,VAL
5500994172383112813928_E04,SKG-IIIa
5500994158987071513201_E04,QIMR-WIL
5500994172383112813930_E04,NCI-H526
5500994172948120113978_E04,Caov-4
5500994173212120213068_E05,KASUMI-1
5500994157493061613625_E05,RPMI-7951
5500994158987071513209_E05,BV-173
5500994172383112813929_E05,D-542MG
5500994158987071513202_E05,LU-135
5500994158987071513207_E05,WM35
5500994172383112813928_E05,KNS-62
5500994158987071513201_E05,PC-3
5500994172383112813930_E05,NCI-H929
5500994172948120113978_E05,DIFI
5500994173212120213068_E06,CHP-126
5500994157493061613625_E06,CAL-54
5500994158987071513209_E06,Calu-6
5500994172383112813929_E06,EW-3
5500994158987071513202_E06,LS-513
5500994158987071513207_E06,U031
5500994158987071513201_E06,PL18
5500994172383112813930_E06,NAMALWA
5500994172948120113978_E06,NCI-H1836
5500994173212120213068_E07,PC-3
5500994157493061613625_E07,WM-115
5500994158987071513209_E07,C-33-A
5500994172383112813929_E07,EMC-BAC-2
5500994158987071513202_E07,LNZTA3WT4
5500994158987071513207_E07,TE-11
5500994172383112813928_E07,H4
5500994158987071513201_E07,NCI-H1092
5500994172383112813930_E07,NKM-1
5500994172948120113978_E07,huH-1
5500994173212120213068_E08,NCI-H2066
5500994157493061613625_E08,NCI-H2009
5500994158987071513209_E08,COLO-792
5500994172383112813929_E08,HuCCT1
5500994158987071513207_E08,T-T
5500994172383112813928_E08,HT55
5500994158987071513201_E08,NCI-H1573
5500994172383112813930_E08,NB13
5500994172948120113978_E08,HCC1143
5500994173212120213068_E09,SW156
5500994157493061613625_E09,ES3
5500994158987071513209_E09,COR-L23
5500994172383112813929_E09,HCC1187
5500994158987071513202_E09,G-361
5500994158987071513207_E09,SU-DHL-8
5500994172383112813928_E09,SK-MM-2
5500994158987071513201_E09,NCI-H1651
5500994172383112813930_E09,OVCAR-3
5500994172948120113978_E09,MOG-G-CCM
5500994157493061613625_E10,COLO-741
5500994158987071513209_E10,Daoy
5500994172383112813929_E10,HCC2157
5500994158987071513202_E10,GR-ST
5500994158987071513207_E10,SK-MEL-24
5500994172383112813928_E10,JiyoyeP-2003
5500994158987071513201_E10,RKN
5500994172383112813930_E10,NCI-H1694
5500994172948120113978_E10,OV-17R
5500994157493061613625_E11,D-283MED
5500994158987071513209_E11,DoTc2-4510
5500994172383112813929_E11,Hs746T
5500994158987071513202_E11,MOLT-16
5500994158987071513207_E11,SW837
5500994172383112813928_E11,JHH-6
5500994158987071513201_E11,OSC-20
5500994172383112813930_E11,SW1116
5500994172948120113978_E11,BICR10
5500994158987071513209_E12,ES-2
5500994172383112813929_E12,HCC1954
5500994158987071513202_E12,Mewo
5500994158987071513207_E12,T-24
5500994172383112813928_E12,IM-95
5500994158987071513201_E12,PSN1
5500994172383112813930_E12,SNU-C2B
5500994173212120213068_F01,SU-DHL-5
5500994157493061613625_F01,639-V
5500994158987071513209_F01,8305C
5500994172383112813929_F01,EPLC-272H
5500994158987071513202_F01,KYSE-70
5500994158987071513207_F01,MRK-nu-1
5500994172383112813928_F01,SCC-15
5500994172383112813930_F01,NCI-H2135
5500994172948120113978_F01,NCI-H1435
5500994173212120213068_F02,SK-N-AS
5500994157493061613625_F02,OE19
5500994158987071513209_F02,A431
5500994172383112813929_F02,A253
5500994158987071513202_F02,KOPN-8
5500994158987071513207_F02,MCF7
5500994172383112813928_F02,TOV-112D
5500994158987071513201_F02,RF-48
5500994172383112813930_F02,NCI-H2085
5500994172948120113978_F02,COR-L311
5500994173212120213068_F03,8-MG-BA
5500994157493061613625_F03,NCI-H2452
5500994158987071513209_F03,ATN-1
5500994172383112813929_F03,BOKU
5500994158987071513202_F03,KMRC-20
5500994158987071513207_F03,UM-UC-3
5500994172383112813928_F03,SKN
5500994158987071513201_F03,RO82-W-1
5500994172383112813930_F03,NCI-H378
5500994172948120113978_F03,Mo
5500994173212120213068_F04,MDA-MB-134-VI
5500994157493061613625_F04,EFM-192A
5500994158987071513209_F04,BHY
5500994172383112813929_F04,COLO-684
5500994158987071513202_F04,LB2241-RCC
5500994158987071513207_F04,VM-CUB-1
5500994172383112813928_F04,SK-LU-1
5500994158987071513201_F04,P12-ICHIKAWA
5500994172383112813930_F04,NCI-H64
5500994172948120113978_F04,NCI-H1417
5500994173212120213068_F05,Hs-940-T
5500994157493061613625_F05,UACC-62
5500994158987071513209_F05,C2BBe1
5500994172383112813929_F05,DMS-79
5500994158987071513202_F05,LU-65
5500994158987071513207_F05,WIL2-NS
5500994172383112813928_F05,KARPAS-422
5500994158987071513201_F05,PCI-30
5500994172383112813930_F05,NCI-H69
5500994172948120113978_F05,COR-L279
5500994173212120213068_F06,CAL-12T
5500994157493061613625_F06,DU-4475
5500994158987071513209_F06,CAPAN-1
5500994172383112813929_F06,EW-7
5500994158987071513202_F06,LS-180
5500994158987071513207_F06,SBC-1
5500994172383112813928_F06,HuP-T4
5500994158987071513201_F06,P32-ISH
5500994172383112813930_F06,NB10
5500994172948120113978_F06,MLMA
5500994173212120213068_F07,PANC-02-03
5500994157493061613625_F07,SISO
5500994158987071513209_F07,CA46
5500994172383112813929_F07,EHEB
5500994158987071513202_F07,LAMA-84
5500994158987071513207_F07,TE-15
5500994172383112813928_F07,HAL-01
5500994158987071513201_F07,NCI-H1648
5500994172383112813930_F07,NOMO-1
5500994172948120113978_F07,Hep3B2-1-7
5500994173212120213068_F08,NCI-H1105
5500994157493061613625_F08,JHH-1
5500994158987071513209_F08,CFPAC-1
5500994172383112813929_F08,HCT-15
5500994158987071513202_F08,FU-OV-1
5500994158987071513207_F08,TT2609-C02
5500994172383112813928_F08,HLE
5500994158987071513201_F08,NCI-H1734
5500994172383112813930_F08,NB17
5500994172948120113978_F08,LB373-MEL-D
5500994173212120213068_F09,LoVo
5500994157493061613625_F09,COLO-680N
5500994158987071513209_F09,BPH-1
5500994172383112813929_F09,H3255
5500994158987071513202_F09,G-MEL
5500994158987071513207_F09,SK-MEL-5
5500994172383112813928_F09,SK-PN-DW
5500994158987071513201_F09,NCI-H1563
5500994172383112813930_F09,OCUM-1
5500994172948120113978_F09,MDA-MB-468
5500994157493061613625_F10,ESO51
5500994158987071513209_F10,Detroit562
5500994172383112813929_F10,HCC2218
5500994158987071513202_F10,G-292-Clone-A141B1
5500994158987071513207_F10,SW1990
5500994172383112813928_F10,J82
5500994158987071513201_F10,RCC-MF
5500994172383112813930_F10,SW1463
5500994172948120113978_F10,SU-DHL-6
5500994157493061613625_F11,CAL-33
5500994158987071513209_F11,DB
5500994172383112813929_F11,HH
5500994158987071513202_F11,MOLT-13
5500994158987071513207_F11,SW620
5500994172383112813928_F11,JHH-7
5500994158987071513201_F11,OV-90
5500994172383112813930_F11,SW13
5500994172948120113978_F11,RERF-LC-KJ
