assay_name,cell_line
5500994157493061613625_G09,ES8
5500994158987071513209_G09,CTV-1
5500994172383112813929_G09,H3118
5500994158987071513202_G09,GOTO
5500994158987071513207_G09,SJRH30
5500994172383112813928_G09,IST-SL1
5500994172383112813930_G09,SCC-3
5500994172948120113978_G09,UE6E7T-3
5500994157493061613625_G10,H2795
5500994158987071513209_G10,DG-75
5500994172383112813929_G10,HCC1569
5500994158987071513202_G10,G-402
5500994158987071513207_G10,SW872
5500994172383112813928_G10,JAR
5500994158987071513201_G10,OCUB-M
5500994172383112813930_G10,SW48
5500994172948120113978_G10,OV-7
5500994157493061613625_G11,SW1417
5500994158987071513209_G11,EFM-19
5500994172383112813929_G11,HARA
5500994158987071513202_G11,MONO-MAC-6
5500994158987071513207_G11,SNU-387
5500994172383112813928_G11,JHU-011
5500994158987071513201_G11,OVCAR-5
5500994172383112813930_G11,SU-DHL-4
5500994172948120113978_G11,BICR31
5500994158987071513209_G12,EW-11
5500994172383112813929_G12,HT-115
5500994158987071513202_G12,MEL-HO
5500994158987071513207_G12,T98G
5500994172383112813928_G12,IGROV-1
5500994158987071513201_G12,NCI-H1944
5500994172383112813930_G12,SF268
5500994173212120213068_H01,SNU-407
5500994157493061613625_H01,H2369
5500994158987071513209_H01,A172
5500994172383112813929_H01,EB2
5500994158987071513202_H01,KYSE-150
5500994158987071513207_H01,MKN1
5500994172383112813928_H01,SBC-3
5500994158987071513201_H01,RD
5500994172948120113978_H01,MDA-MB-330
5500994173212120213068_H02,SIMA
5500994157493061613625_H02,647-V
5500994158987071513209_H02,A673
5500994172383112813929_H02,ALL-PO
5500994158987071513202_H02,KARPAS-620
5500994158987071513207_H02,MC116
5500994172383112813928_H02,SUP-B8
5500994158987071513201_H02,RH-1
5500994172383112813930_H02,NCI-H23
5500994172948120113978_H02,MHH-CALL-4
5500994173212120213068_H03,AGS
5500994157493061613625_H03,TGBC24TKB
5500994158987071513209_H03,BC-1
5500994172383112813929_H03,BICR22
5500994158987071513202_H03,KGN
5500994158987071513207_H03,U-87-MG
5500994172383112813928_H03,SK-MEL-3
5500994158987071513201_H03,RPMI-8226
5500994172383112813930_H03,NCI-H522
5500994172948120113978_H03,MC-CAR
5500994173212120213068_H04,LC-1F
5500994157493061613625_H04,H2595
5500994172383112813929_H04,CTB-1
5500994158987071513202_H04,LC4-1
5500994158987071513207_H04,UMC-11
5500994172383112813928_H04,IM-9
5500994158987071513201_H04,PANC-03-27
5500994172383112813930_H04,NCI-H835
5500994172948120113978_H04,TGW
5500994173212120213068_H05,EW-12
5500994157493061613625_H05,MPP-89
5500994158987071513209_H05,C8166
5500994172383112813929_H05,DOHH-2
5500994158987071513202_H05,LU-165
5500994158987071513207_H05,WM-266-4
5500994172383112813928_H05,KYSE-50
5500994158987071513201_H05,PCI-38
5500994172383112813930_H05,NCI-H647
5500994172948120113978_H05,NCI-H1436
5500994173212120213068_H06,RCC-ER
5500994157493061613625_H06,IGR-1
5500994158987071513209_H06,CHP-134
5500994172383112813929_H06,ESO26
5500994158987071513202_H06,LS-1034
5500994158987071513207_H06,SCaBER
5500994172383112813928_H06,HeLaSF
5500994158987071513201_H06,OC-314
5500994172383112813930_H06,NB69
5500994172948120113978_H06,CADO-ES1
5500994173212120213068_H07,OCI-AML5
5500994157493061613625_H07,NCI-H2030
5500994158987071513209_H07,CAL-72
5500994172383112813929_H07,Hs-944-T
5500994158987071513202_H07,LOUCY
5500994158987071513207_H07,TE-6
5500994172383112813928_H07,HDQ-P1
5500994158987071513201_H07,NCI-H1993
5500994172383112813930_H07,no-10
5500994172948120113978_H07,JHOS-2
5500994173212120213068_H08,MM1S
5500994157493061613625_H08,SK-MEL-1
5500994158987071513209_H08,COLO-320
5500994172383112813929_H08,HCC1806
5500994158987071513202_H08,GB-1
5500994158987071513207_H08,TCCSUP
5500994172383112813928_H08,IST-SL2
5500994158987071513201_H08,NCI-H1155
5500994172383112813930_H08,NTERA-S-cl-D1
5500994157493061613625_H09,COLO-205
5500994158987071513209_H09,ChaGo-K-1
5500994172383112813929_H09,Hs-683
5500994158987071513202_H09,GT3TKB
5500994158987071513207_H09,SU-DHL-10
5500994172383112813928_H09,IMR-5
5500994158987071513201_H09,NCI-H1781
5500994172383112813930_H09,SCC-4
5500994172948120113978_H09,YT
5500994157493061613625_H10,BFTC-905
5500994158987071513209_H10,DJM-1
5500994172383112813929_H10,HCC1428
5500994158987071513202_H10,MKN7
5500994158987071513207_H10,SK-MEL-28
5500994172383112813928_H10,JEKO-1
5500994158987071513201_H10,OE21
5500994172383112813930_H10,NCI-H1975
5500994172948120113978_H10,SK-GT-4
5500994157493061613625_H11,H2804
5500994158987071513209_H11,EFO-27
5500994172383112813929_H11,HuH-7
5500994158987071513202_H11,Mo-T
5500994158987071513207_H11,SU-DHL-1
5500994172383112813928_H11,JHU-022
5500994158987071513201_H11,OS-RC-2
5500994172383112813930_H11,SW982
5500994172948120113978_H11,RWPE2-W99
5500994158987071513209_H12,EW-1
5500994172383112813929_H12,HT-3
5500994158987071513202_H12,MEC-1
5500994158987071513207_H12,T84
5500994172383112813928_H12,I-9-2
5500994158987071513201_H12,NCI-H187
5500994172383112813930_H12,SF126
5500994175999120813240_A01,SNG-M
5500994175999120813240_A08,NCI-H1770
5500994175999120813240_A02,NB6
5500994175999120813240_A09,RCC-JF
5500994175999120813240_A03,Ishikawa_Heraklio_02ER-
5500994175999120813240_A10,NCI-H446
5500994175999120813240_A04,JVM-2
5500994175999120813240_A11,TK10
5500994175999120813240_A05,TK
5500994175999120813240_A06,DBTRG-05MG
5500994175999120813240_A07,KP-N-YN
5500994173603120813304_A10,KARPAS-45
5500994173603120813304_A11,PA-TU-8902
5500994173603120813304_A12,ES6
5500994175999120813240_B01,L-428
5500994175999120813240_B08,OCI-AML3
5500994175999120813240_B02,Daudi
5500994175999120813240_B09,HCC38
5500994175999120813240_B03,CW-2
5500994175999120813240_B10,RL95-2
5500994175999120813240_B04,GDM-1
5500994175999120813240_B11,NCI-H2087
5500994175999120813240_B05,KYSE-220
5500994175999120813240_B06,MDA-MB-436
5500994175999120813240_B07,MOLM-16
5500994173603120813304_B10,GA-10-Clone-4
5500994173603120813304_B11,HO-1-u-1
5500994173603120813304_B12,M00921
5500994175999120813240_C01,D-423MG
5500994175999120813240_C08,CAL-62
5500994175999120813240_C02,8505C
5500994175999120813240_C09,SW626
5500994175999120813240_C03,JM1
5500994175999120813240_C10,TASK1
5500994175999120813240_C04,CML-T1
5500994175999120813240_C11,DMS-273
5500994175999120813240_C05,M059J
5500994175999120813240_C06,CHSA0108
5500994175999120813240_C07,CL-34
5500994173603120813304_C10,SNU-C1
5500994173603120813304_C11,NB1
5500994173603120813304_C12,SCC90
5500994175999120813240_D01,HCC1599
5500994175999120813240_D08,TE-4
5500994175999120813240_D02,Hey
5500994175999120813240_D09,TGBC1TKB
5500994175999120813240_D03,MSTO-211H
5500994175999120813240_D10,NOS-1
5500994175999120813240_D04,RCH-ACV
5500994175999120813240_D11,SJSA-1
5500994175999120813240_D05,SU-DHL-16
5500994175999120813240_D06,GRANTA-519
5500994175999120813240_D07,K2
5500994173603120813304_D10,KG-1
5500994173603120813304_D11,K-562
5500994173603120813304_D12,NCI-H292
5500994175999120813240_E01,MN-60
5500994175999120813240_E08,DOV13
5500994175999120813240_E02,KM12
5500994175999120813240_E09,NCI-H720
5500994175999120813240_E03,NCC010
5500994175999120813240_E10,VMRC-RCZ
5500994175999120813240_E04,22RV1
5500994175999120813240_E11,NCI-H345
5500994175999120813240_E05,KARPAS-1106P
5500994175999120813240_E06,LB771-HNC
5500994175999120813240_E07,CP50-MEL-B
5500994173603120813304_E10,PANC-04-03
5500994173603120813304_E11,LNCaP-Clone-FGC
5500994173603120813304_E12,C-4-I
5500994175999120813240_F01,LB1047-RCC
5500994175999120813240_F08,Hs-445
5500994175999120813240_F02,KU-19-19
5500994175999120813240_F09,NCI-H1876
5500994175999120813240_F03,ACN
5500994175999120813240_F10,U-2-OS
5500994175999120813240_F04,OV-56
5500994175999120813240_F11,NCI-H2122
5500994175999120813240_F05,OVTOKO
5500994175999120813240_F06,FLO-1
5500994175999120813240_F07,KMS-11
5500994173603120813304_F10,ESS-1
5500994173603120813304_F11,TC-71
5500994173603120813304_F12,KP-2
5500994175999120813240_G01,OCI-LY7
5500994175999120813240_G08,NCI-H226
5500994175999120813240_G02,COLO-829
5500994175999120813240_G09,SU8686
5500994175999120813240_G03,MFE-296
5500994175999120813240_G10,SW1271
5500994175999120813240_G04,D-566MG
5500994175999120813240_G11,KM-H2
5500994175999120813240_G05,JHU-028
5500994175999120813240_G06,K5
5500994175999120813240_G07,LC-1-sq
5500994173603120813304_G10,HCC1395
5500994173603120813304_G11,M980513
5500994173603120813304_G12,JHU-029
5500994175999120813240_H01,NCI-H716
5500994175999120813240_H08,PEO1
5500994175999120813240_H02,LB831-BLC
5500994175999120813240_H09,PL4
5500994175999120813240_H03,HC-1
5500994175999120813240_H10,TT
5500994175999120813240_H04,JURKAT
5500994175999120813240_H11,SK-MEL-28
5500994175999120813240_H05,MOG-G-UVW
5500994175999120813240_H06,MET-2B
5500994175999120813240_H07,JIMT-1
5500994173603120813304_H10,HSC-2
5500994173603120813304_H11,STS-0421
5500994173603120813304_H12,LB996-RCC
